cell
6.3779997825622559            5.5233478546142578            51.860000610351563     
frac
Ga1          0.750000         0.500000         0.700000    1 1 1
N101         0.500000         0.666667         0.711797    1 1 1
Ga2          0.250000         0.166667         0.750000    1 1 1
N201         0.000000         0.000000         0.761797    1 1 1
Ga2          0.750000         0.166667         0.750000    1 1 1
N201         0.500000         0.000000         0.761797    1 1 1
Ga2          0.000000         0.666667         0.750000    1 1 1
N201         0.250000         0.500000         0.761797    1 1 1
Ga2          0.500000         0.666667         0.750000    1 1 1
N201         0.750000         0.500000         0.761797    1 1 1
Ga1          0.000000         0.000000         0.800000    1 1 1
N101         0.250000         0.166667         0.811797    1 1 1
Ga1          0.500000         0.000000         0.800000    1 1 1
N101         0.750000         0.166667         0.811797    1 1 1
Ga1          0.250000         0.500000         0.800000    1 1 1
N101         0.000000         0.666667         0.811797    1 1 1
Ga1          0.750000         0.500000         0.800000    1 1 1
N101         0.500000         0.666667         0.811797    1 1 1
Ga2          0.250000         0.166667         0.850000    1 1 1
N201         0.000000         0.000000         0.861797    1 1 1
Ga2          0.750000         0.166667         0.850000    1 1 1
N201         0.500000         0.000000         0.861797    1 1 1
Ga2          0.000000         0.666667         0.850000    1 1 1
N201         0.250000         0.500000         0.861797    1 1 1
Ga2          0.500000         0.666667         0.850000    1 1 1
N201         0.750000         0.500000         0.861797    1 1 1
Ga1          0.000000         0.000000         0.900000    1 1 1
N101         0.250000         0.166667         0.911797    1 1 1
Ga1          0.500000         0.000000         0.900000    1 1 1
N101         0.750000         0.166667         0.911797    1 1 1
Ga1          0.250000         0.500000         0.900000    1 1 1
N101         0.000000         0.666667         0.911797    1 1 1
Ga1          0.750000         0.500000         0.900000    1 1 1
N101         0.500000         0.666667         0.911797    1 1 1
Ga2          0.250000         0.166667         0.950000    1 1 1
N201         0.000000         0.000000         0.961797    1 1 1
Ga2          0.750000         0.166667         0.950000    1 1 1
N201         0.500000         0.000000         0.961797    1 1 1
Ga2          0.000000         0.666667         0.950000    1 1 1
N201         0.250000         0.500000         0.961797    1 1 1
Ga2          0.500000         0.666667         0.950000    1 1 1
N201         0.750000         0.500000         0.961797    1 1 1
